iter	Passed	Remaining
509	19045	18298
510	19081	18260
511	19120	18224
512	19159	18188
513	19199	18153
514	19237	18117
515	19277	18081
516	19331	18060
517	19374	18028
518	19420	17999
519	19462	17965
520	19502	17930
521	19544	17896
522	19583	17860
523	19622	17824
524	19657	17784
525	19695	17748
526	19730	17709
527	19766	17670
528	19807	17636
529	19845	17598
530	19877	17556
531	19912	17516
532	19949	17478
533	19991	17446
534	20026	17406
535	20071	17375
536	20105	17334
537	20139	17294
538	20174	17254
539	20209	17215
540	20243	17175
541	20278	17135
542	20312	17095
543	20350	17058
544	20383	17017
545	20413	16973
546	20446	16932
547	20480	16892
548	20513	16851
549	20549	16813
550	20583	16773
551	20616	16732
552	20653	16694
553	20686	16654
554	20720	16613
555	20754	16574
556	20790	16535
557	20821	16493
558	20855	16453
559	20906	16426
560	20940	16386
561	20972	16345
562	21005	16304
563	21036	16261
564	21066	16219
565	21099	16179
566	21131	16137
567	21163	16096
568	21192	16052
569	21228	16014
570	21262	15974
571	21298	15936
572	21328	15893
573	21358	15851
574	21389	15809
575	21422	15769
576	21456	15730
577	21490	15690
578	21525	15651
579	21564	15615
580	21600	15577
581	21633	15537
582	21668	15498
583	21712	15466
584	21752	15431
585	21786	15392
586	21821	15353
587	21866	15321
588	21910	15289
589	21942	15248
590	21973	15206
591	22007	15167
592	22040	15127
593	22076	15089
594	22113	15051
595	22153	15016
596	22186	14976
597	22221	14938
598	22258	14901
599	22293	14862
600	22326	14822
601	22360	14783
602	22396	14745
603	22432	14707
604	22464	14666
605	22494	14625
606	22522	14582
607	22559	14544
608	22588	14502
609	22623	14464
610	22660	14426
611	22695	14388
612	22729	14349
613	22759	14308
614	22789	14266
615	22817	14224
616	22852	14185
617	22909	14160
618	22986	14148
619	23033	14117
620	23087	14090
621	23125	14053
622	23159	14014
623	23194	13975
624	23235	13941
625	23272	13903
626	23308	13866
627	23347	13829
628	23385	13793
629	23424	13757
630	23458	13718
631	23493	13679
632	23527	13640
633	23562	13602
634	23599	13565
635	23635	13527
636	23667	13487
637	23701	13447
638	23734	13408
639	23766	13368
640	23805	13332
641	23839	13293
642	23870	13252
643	23909	13217
644	23944	13178
645	23978	13139
646	24011	13100
647	24047	13062
648	24081	13024
649	24114	12984
650	24148	12946
651	24182	12907
652	24214	12867
653	24244	12826
654	24276	12786
655	24307	12746
656	24342	12708
657	24373	12668
658	24407	12629
659	24440	12590
660	24472	12551
661	24508	12513
662	24537	12472
663	24572	12434
664	24607	12396
665	24643	12358
666	24680	12321
667	24714	12283
668	24746	12243
669	24785	12208
670	24822	12170
671	24857	12132
672	24894	12095
673	24930	12058
674	24960	12018
675	24990	11977
676	25025	11939
677	25055	11899
678	25087	11860
679	25121	11821
680	25151	11781
681	25184	11742
682	25219	11705
683	25254	11667
684	25291	11630
685	25339	11598
686	25391	11568
687	25439	11536
688	25491	11506
689	25543	11475
690	25603	11449
691	25658	11420
692	25704	11387
693	25742	11350
694	25793	11319
695	25824	11279
696	25857	11240
697	25889	11201
698	25922	11162
699	25953	11123
700	25985	11083
701	26017	11044
702	26051	11006
703	26081	10966
704	26116	10928
705	26147	10888
706	26180	10849
707	26210	10810
708	26245	10772
709	26279	10734
710	26318	10697
711	26347	10657
712	26376	10617
713	26407	10577
714	26437	10537
715	26468	10498
716	26502	10460
717	26537	10422
718	26576	10386
719	26614	10350
720	26649	10312
721	26683	10274
722	26715	10235
723	26742	10194
724	26774	10155
725	26811	10119
726	26849	10082
727	26881	10043
728	26913	10004
729	26947	9966
730	26982	9929
731	27017	9891
732	27052	9854
733	27085	9815
734	27120	9778
735	27152	9739
736	27191	9703
737	27226	9665
738	27262	9628
739	27297	9591
740	27330	9552
741	27369	9516
742	27406	9479
743	27446	9444
744	27481	9406
745	27516	9369
746	27554	9332
747	27588	9294
748	27624	9257
749	27662	9220
750	27696	9182
751	27730	9145
752	27764	9107
753	27798	9069
754	27830	9031
755	27865	8993
756	27900	8956
757	27932	8917
758	27968	8880
759	28001	8842
760	28032	8804
761	28067	8766
762	28101	8728
763	28133	8690
764	28162	8651
765	28194	8612
766	28225	8574
767	28256	8535
768	28288	8497
769	28319	8458
770	28351	8420
771	28383	8382
772	28419	8345
773	28450	8307
774	28484	8269
775	28517	8231
776	28554	8195
777	28593	8159
778	28630	8122
779	28667	8085
780	28715	8052
781	28751	8014
782	28792	7979
783	28832	7943
784	28868	7906
785	28904	7869
786	28935	7831
787	28971	7794
788	29007	7757
789	29043	7720
790	29077	7682
791	29114	7646
792	29149	7609
793	29182	7571
794	29225	7536
795	29267	7500
796	29305	7464
797	29349	7429
798	29394	7394
799	29427	7356
800	29472	7322
801	29508	7285
802	29541	7247
803	29574	7209
804	29606	7171
805	29637	7133
806	29672	7096
807	29711	7060
808	29741	7021
809	29772	6983
810	29806	6946
811	29837	6908
812	29871	6870
813	29907	6834
814	29970	6803
815	30012	6767
816	30056	6732
817	30107	6698
818	30156	6664
819	30197	6628
820	30239	6593
821	30280	6557
822	30329	6522
823	30375	6488
824	30414	6451
825	30453	6415
826	30489	6378
827	30529	6341
828	30583	6308
829	30632	6274
830	30820	6267
831	30916	6242
832	30971	6209
833	31006	6171
834	31040	6133
835	31102	6101
836	31205	6076
837	31276	6046
838	31329	6011
839	31395	5980
840	31447	5945
841	31485	5908
842	31524	5871
843	31559	5833
844	31591	5794
845	31622	5756
846	31657	5718
847	31690	5680
848	31733	5644
849	31770	5606
850	31806	5568
851	31841	5531
852	31876	5493
853	31923	5457
854	31974	5422
855	32020	5386
856	32079	5352
857	32149	5320
858	32219	5288
859	32288	5256
860	32357	5223
861	32410	5188
862	32468	5154
863	32523	5119
864	32563	5082
865	32595	5043
866	32623	5004
867	32657	4966
868	32690	4928
869	32721	4889
870	32765	4852
871	32805	4815
872	32840	4777
873	32872	4739
874	32907	4701
875	32945	4663
876	32978	4625
877	33017	4587
878	33052	4549
879	33088	4512
880	33130	4475
881	33181	4439
882	33247	4405
883	33297	4369
884	33360	4334
885	33411	4299
886	33462	4262
887	33517	4227
888	33567	4191
889	33620	4155
890	33673	4119
891	33715	4082
892	33754	4044
893	33795	4007
894	33830	3968
895	33866	3930
896	33899	3892
897	33933	3854
898	33967	3816
899	34001	3777
900	34034	3739
901	34070	3701
902	34108	3663
903	34147	3626
904	34179	3587
905	34215	3549
906	34248	3511
907	34281	3473
908	34313	3435
909	34346	3396
910	34378	3358
911	34408	3320
912	34440	3281
913	34470	3243
914	34506	3205
915	34542	3167
916	34571	3129
917	34602	3090
918	34632	3052
919	34662	3014
920	34690	2975
921	34724	2937
922	34757	2899
923	34791	2861
924	34826	2823
925	34866	2786
926	34901	2748
927	34933	2710
928	34965	2672
929	34995	2634
930	35027	2596
931	35059	2557
932	35092	2520
933	35124	2482
934	35155	2443
935	35187	2405
936	35221	2368
937	35255	2330
938	35283	2292
939	35314	2254
940	35346	2216
941	35380	2178
942	35410	2140
943	35441	2102
944	35468	2064
945	35494	2026
946	35523	1988
947	35555	1950
948	35586	1912
949	35619	1874
950	35649	1836
951	35680	1799
952	35709	1761
953	35741	1723
954	35769	1685
955	35798	1647
956	35843	1610
957	35875	1572
958	35907	1535
959	35940	1497
960	35970	1459
961	36003	1422
962	36036	1384
963	36069	1346
964	36099	1309
965	36128	1271
966	36159	1233
967	36188	1196
968	36221	1158
969	36264	1121
970	36296	1084
971	36328	1046
972	36360	1008
973	36393	971
974	36432	934
975	36462	896
976	36493	859
977	36521	821
978	36551	784
979	36583	746
980	36618	709
981	36650	671
982	36684	634
983	36716	597
984	36748	559
985	36776	522
986	36805	484
987	36839	447
988	36870	410
989	36900	372
990	36932	335
991	36965	298
992	36993	260
993	37025	223
994	37055	186
995	37087	148
996	37121	111
997	37151	74
998	37181	37
999	37212	0
