iter	RMSE
164	4.181670049
165	4.180559174
166	4.179532144
167	4.178605933
168	4.177681547
169	4.176563932
170	4.175553575
171	4.17457844
172	4.173465864
173	4.172586245
174	4.171563987
175	4.17070483
176	4.16985903
177	4.169041616
178	4.168179184
179	4.167395104
180	4.16645396
181	4.16565118
182	4.16480345
183	4.163986051
184	4.163135663
185	4.162258071
186	4.161456416
187	4.160762737
188	4.160030628
189	4.159347171
190	4.158643185
191	4.15805187
192	4.157274466
193	4.156501685
194	4.155858831
195	4.155237033
196	4.154564239
197	4.153939589
198	4.153289153
199	4.15267854
200	4.151976057
201	4.151280954
202	4.15060915
203	4.150004797
204	4.14928937
205	4.148677201
206	4.148131871
207	4.147463778
208	4.146885441
209	4.146283081
210	4.145713232
211	4.145004833
212	4.144450139
213	4.1438139
214	4.143282257
215	4.142711545
216	4.14223728
217	4.141750536
218	4.141331706
219	4.140813325
220	4.140334566
221	4.139893423
222	4.139492413
223	4.139076096
224	4.138558579
225	4.138159743
226	4.137701643
227	4.137261112
228	4.136860864
229	4.13631619
230	4.135862475
231	4.135368847
232	4.134915125
233	4.134537812
234	4.13404122
235	4.133725234
236	4.133296538
237	4.132830669
238	4.132298841
239	4.131886821
240	4.131441284
241	4.13091136
242	4.130505923
243	4.130005157
244	4.129650714
245	4.129365985
246	4.128927699
247	4.128551436
248	4.128078885
249	4.127684506
250	4.127387663
251	4.127029924
252	4.126673896
253	4.126295845
254	4.125914749
255	4.125583033
256	4.125268353
257	4.124992045
258	4.124646276
259	4.124337594
260	4.123972527
261	4.123677845
262	4.123324773
263	4.122991533
264	4.122637885
265	4.122310045
266	4.121996163
267	4.121716494
268	4.121463001
269	4.121147812
270	4.12083282
271	4.120407275
272	4.120109315
273	4.119793732
274	4.119518876
275	4.119233284
276	4.119005944
277	4.118722361
278	4.118436146
279	4.118181374
280	4.117905946
281	4.117653807
282	4.117310073
283	4.117104663
284	4.116895757
285	4.116661223
286	4.11642916
287	4.116202085
288	4.115943799
289	4.115613518
290	4.115359339
291	4.115097111
292	4.114879795
293	4.114670269
294	4.114407431
295	4.114190795
296	4.113942815
297	4.11373022
298	4.113533843
299	4.113195381
300	4.112973476
301	4.112714825
302	4.1124815
303	4.11224786
304	4.1120615
305	4.111808243
306	4.111618585
307	4.111409375
308	4.111172883
309	4.111015106
310	4.110805236
311	4.110589534
312	4.110399212
313	4.110201549
314	4.110000074
315	4.109810813
316	4.109567264
317	4.109325894
318	4.109078055
319	4.108936011
320	4.108737169
321	4.108575933
322	4.108427163
323	4.108233143
324	4.108068083
325	4.107871488
326	4.107720381
327	4.107560555
328	4.107405322
329	4.107222239
330	4.10706449
331	4.106901064
332	4.106663249
333	4.106473615
334	4.106310418
335	4.106122939
336	4.105975238
337	4.10579678
338	4.105652126
339	4.105480351
340	4.105319482
341	4.105201787
342	4.105087039
343	4.104937056
344	4.104798364
345	4.104658856
346	4.104509189
347	4.10429574
348	4.104139264
349	4.103976968
350	4.103815377
351	4.10364949
352	4.103431715
353	4.103270438
354	4.10314547
355	4.102987415
356	4.102869319
357	4.102685989
358	4.102502135
359	4.10235631
360	4.102209266
361	4.102056958
362	4.101867568
363	4.10169643
364	4.101520526
365	4.101332555
366	4.101178326
367	4.101023643
368	4.100862132
369	4.100774185
370	4.100661811
371	4.100436423
372	4.100327261
373	4.100190414
374	4.10004299
375	4.099937917
376	4.099818035
377	4.09971259
378	4.099589956
379	4.09943042
380	4.099257052
381	4.099098214
382	4.098956816
383	4.098787788
384	4.098678723
385	4.098563796
386	4.098392656
387	4.098286857
388	4.098125952
389	4.098008554
390	4.097810969
391	4.097689915
392	4.097559844
393	4.097417759
394	4.097300537
395	4.097158833
396	4.097022792
397	4.096872685
398	4.096749519
399	4.096627019
400	4.096498972
401	4.096394723
402	4.096259387
403	4.096157368
404	4.096040498
405	4.095922954
406	4.095820216
407	4.09569324
408	4.095573852
409	4.095455551
410	4.095360213
411	4.095244575
412	4.095145408
413	4.095042379
414	4.094923788
415	4.094757188
416	4.094658166
417	4.09456305
418	4.094448936
419	4.094367753
420	4.094245669
421	4.094143519
422	4.094027863
423	4.093921889
424	4.093798669
425	4.093707145
426	4.093623177
427	4.093495012
428	4.093366955
429	4.093257754
430	4.093140267
431	4.093030876
432	4.092891772
433	4.092803514
434	4.092681874
435	4.092559644
436	4.092418679
437	4.092322787
438	4.092215888
439	4.092130229
440	4.092022527
441	4.091940695
442	4.091851025
443	4.091757726
444	4.091684222
445	4.091590078
446	4.091487585
447	4.091376693
448	4.091258272
449	4.091151903
450	4.091063712
451	4.090940619
452	4.090832675
453	4.090753014
454	4.090671149
455	4.090558352
456	4.090463344
457	4.090399925
458	4.0903227
459	4.090229307
460	4.090149397
461	4.09005782
462	4.089959315
463	4.089945955
464	4.089839085
465	4.089738762
466	4.089660392
467	4.08957287
468	4.089477047
469	4.089364334
470	4.089278616
471	4.089181458
472	4.089058047
473	4.08895889
474	4.088880509
475	4.08880923
476	4.088729002
477	4.088644465
478	4.088530719
479	4.08841006
480	4.088300054
481	4.088191951
482	4.088094465
483	4.088023404
484	4.087925051
485	4.087829522
486	4.0877462
487	4.087655633
488	4.087592739
489	4.087507781
490	4.087433559
491	4.087288404
492	4.087199952
493	4.087116305
494	4.087016204
495	4.086926632
496	4.0868513
497	4.086775004
498	4.086683393
499	4.086612811
500	4.086547349
501	4.086469097
502	4.086385129
503	4.086328232
504	4.086253992
505	4.086160514
506	4.086093374
507	4.086023902
508	4.085947729
509	4.085892842
510	4.085792594
511	4.085714725
512	4.085603555
513	4.085523528
514	4.085426866
515	4.085349803
516	4.085260005
517	4.08512593
518	4.085045276
519	4.084971559
520	4.084887525
521	4.084806701
522	4.08472861
523	4.084646227
524	4.084556319
525	4.084487827
526	4.084405658
527	4.084310657
528	4.084218933
529	4.084115863
530	4.084035639
531	4.083929397
532	4.083842437
533	4.083756776
534	4.083681221
535	4.083602193
536	4.083526923
537	4.083445771
538	4.083374817
539	4.083268563
540	4.083169186
541	4.083080252
542	4.08300933
543	4.082881951
544	4.08281524
545	4.08272825
546	4.082632092
547	4.08255388
548	4.082448819
549	4.082378375
550	4.082258214
551	4.082174427
552	4.082055671
553	4.081972778
554	4.081860605
555	4.081754319
556	4.081673886
557	4.081579507
558	4.081513703
559	4.081437326
560	4.081323683
561	4.081215241
562	4.081152028
563	4.081065743
564	4.080983539
565	4.080872997
566	4.080807834
567	4.080727785
568	4.080629256
569	4.080550207
570	4.080418545
571	4.080341903
572	4.080266259
573	4.080199899
574	4.080111082
575	4.080009708
576	4.079943302
577	4.079866554
578	4.07977378
579	4.079684565
580	4.079610888
581	4.079537804
582	4.07945392
583	4.079386392
584	4.079291889
585	4.07916218
586	4.079094754
587	4.079009626
588	4.078960654
589	4.078905699
590	4.078828129
591	4.078734355
592	4.078644499
593	4.078546359
594	4.078483004
595	4.078422379
596	4.078343119
597	4.078249613
598	4.078152747
599	4.07807864
600	4.078017596
601	4.077951444
602	4.077894306
603	4.077793845
604	4.077701118
605	4.077629229
606	4.077520839
607	4.077459052
608	4.077377569
609	4.077306678
610	4.077176258
611	4.077101827
612	4.077017154
613	4.076928975
614	4.076842846
615	4.076749931
616	4.076674925
617	4.076598579
618	4.076537134
619	4.076462383
620	4.076378821
621	4.076297886
622	4.076210032
623	4.076131671
624	4.076052375
625	4.075963961
626	4.075879802
627	4.075778248
628	4.075713175
629	4.075622064
630	4.075537178
631	4.075465963
632	4.075369191
633	4.075292366
634	4.075225542
635	4.075142671
636	4.075054301
637	4.074988075
638	4.074896243
639	4.074775416
640	4.074660133
641	4.074559988
642	4.074430104
643	4.074328083
644	4.074262613
645	4.074218612
646	4.074129398
647	4.074042019
648	4.073968789
649	4.073880887
650	4.073803279
651	4.073718526
652	4.073633526
653	4.07353558
654	4.073459338
655	4.073383493
656	4.073310696
657	4.073227395
658	4.073148718
659	4.073065381
660	4.072992655
661	4.072900621
662	4.072836143
663	4.072772826
664	4.072702876
665	4.072587565
666	4.072504729
667	4.072408837
668	4.072326993
669	4.072261637
670	4.072191727
671	4.072119978
672	4.072023914
673	4.071939267
674	4.071855776
675	4.071771956
676	4.071711132
677	4.071637488
678	4.071559083
679	4.071474924
680	4.071373189
681	4.071295086
682	4.071224947
683	4.071146524
684	4.071074471
685	4.070977312
686	4.070891
687	4.070813815
688	4.070715493
689	4.070636843
690	4.070556719
691	4.070433905
692	4.07033852
693	4.070268872
694	4.070177044
695	4.070072256
696	4.069982496
697	4.069911266
698	4.069842181
699	4.069737031
700	4.069664859
701	4.069607066
702	4.069561012
703	4.069486894
704	4.069406256
705	4.069357906
706	4.069262682
707	4.06917936
708	4.069106671
709	4.069021742
710	4.068938336
711	4.068847107
712	4.068768627
713	4.068671093
714	4.068593363
715	4.068555833
716	4.068452689
717	4.068373312
718	4.068250459
719	4.068146436
720	4.06804873
721	4.067986792
722	4.067905707
723	4.067810028
724	4.067735858
725	4.067669185
726	4.067589156
727	4.067501504
728	4.067409718
729	4.067356465
730	4.067277304
731	4.067195798
732	4.06713727
733	4.067039844
734	4.066984533
735	4.066852297
736	4.06674872
737	4.066662355
738	4.066542127
739	4.066475278
740	4.066391117
741	4.066294504
742	4.066189876
743	4.066107126
744	4.066022974
745	4.065934365
746	4.065858247
747	4.065781153
748	4.065718656
749	4.06564759
750	4.065546443
751	4.065469444
752	4.065348423
753	4.065308359
754	4.06524745
755	4.065174925
756	4.065072903
757	4.065022273
758	4.06496456
759	4.064851
760	4.064775824
761	4.064689534
762	4.064606029
763	4.06451699
764	4.064434531
765	4.064354527
766	4.064270955
767	4.064162581
768	4.064115069
769	4.064057057
770	4.063964625
771	4.063877393
772	4.063795338
773	4.063699242
774	4.063612505
775	4.063538302
776	4.063434943
777	4.063334252
778	4.063227437
779	4.063144803
780	4.063056642
781	4.062936911
782	4.062878355
783	4.062812782
784	4.062715185
785	4.062637773
786	4.062556298
787	4.062467621
788	4.06240192
789	4.062344779
790	4.062283441
791	4.062224274
792	4.062135709
793	4.062060323
794	4.061959738
795	4.061858274
796	4.061764969
797	4.06168617
798	4.061587959
799	4.061489465
800	4.061396579
801	4.061301309
802	4.061208783
803	4.061140678
804	4.061052407
805	4.060966144
806	4.060895738
807	4.060813872
808	4.060735947
809	4.060660446
810	4.060575025
811	4.060486466
812	4.060387192
813	4.060311688
814	4.060224101
815	4.060119794
816	4.060050911
817	4.059960809
818	4.059861036
819	4.059785768
820	4.059728049
821	4.059630658
822	4.059532727
823	4.059446785
824	4.059388696
825	4.059301524
826	4.059201052
827	4.059106923
828	4.058987867
829	4.058908102
830	4.058818741
831	4.058753926
832	4.058675608
833	4.058598449
834	4.058518784
835	4.058410872
836	4.05833951
837	4.058258562
838	4.058186492
839	4.058110698
840	4.058058002
841	4.057978572
842	4.057936947
843	4.057846215
844	4.057770318
845	4.057666122
846	4.057575201
847	4.057510062
848	4.057442868
849	4.057350949
850	4.057256808
851	4.057169548
852	4.057051268
853	4.056965664
854	4.056899413
855	4.056837396
856	4.05675968
857	4.056668328
858	4.056590814
859	4.056499216
860	4.056415954
861	4.056358265
862	4.056257616
863	4.056202901
864	4.056113977
865	4.056031047
866	4.055951104
867	4.055877628
868	4.05580913
869	4.055746816
870	4.055622688
871	4.055549478
872	4.055473164
873	4.055401106
874	4.055344495
875	4.055219007
876	4.05516121
877	4.055092277
878	4.055022452
879	4.054926179
880	4.054822931
881	4.05474074
882	4.054651869
883	4.054577052
884	4.054494987
885	4.054405535
886	4.054335602
887	4.054237132
888	4.054138825
889	4.054066066
890	4.053982602
891	4.053876782
892	4.053778134
893	4.05371202
894	4.053617449
895	4.05353816
896	4.053477118
897	4.0533861
898	4.053320186
899	4.053218878
900	4.05310839
901	4.053037928
902	4.052939609
903	4.05284067
904	4.05276293
905	4.052664551
906	4.052575641
907	4.052463874
908	4.052373197
909	4.052282904
910	4.052182079
911	4.05212213
912	4.052037668
913	4.051962403
914	4.051894238
915	4.051792679
916	4.051739671
917	4.051655247
918	4.051567673
919	4.05151633
920	4.05143071
921	4.051328345
922	4.051278347
923	4.051169087
924	4.051081741
925	4.051007137
926	4.050926227
927	4.050848166
928	4.050746517
929	4.050659041
930	4.050549804
931	4.050461877
932	4.050358491
933	4.050261544
934	4.050162756
935	4.050070978
936	4.049991203
937	4.049930803
938	4.049831821
939	4.049751126
940	4.049650602
941	4.049560463
942	4.04946566
943	4.049379302
944	4.049276624
945	4.049202999
946	4.049105993
947	4.049024127
948	4.04894242
949	4.048863832
950	4.048768053
951	4.048700607
952	4.048585287
953	4.048486849
954	4.048390607
955	4.048339658
956	4.048230581
957	4.048149755
958	4.048062851
959	4.047993124
960	4.047898921
961	4.047799657
962	4.047721404
963	4.047655186
964	4.047568885
965	4.047494862
966	4.047433573
967	4.047344048
968	4.047251857
969	4.047155171
970	4.04708297
971	4.047019175
972	4.046923339
973	4.04681628
974	4.046730711
975	4.046680423
976	4.04662597
977	4.046573413
978	4.046529386
979	4.046427805
980	4.046350285
981	4.046270197
982	4.04617322
983	4.04611726
984	4.046071053
985	4.045979587
986	4.045912959
987	4.0458378
988	4.045774457
989	4.045686318
990	4.045610514
991	4.045551332
992	4.045464389
993	4.045381244
994	4.045282834
995	4.045198843
996	4.045120889
997	4.045045417
998	4.044980896
999	4.044894469
99	4.042268644
18053
